target_Fgt,used_mat_frac_adipose,measured_Fgt,Fmd,fom,seed,energies,R,det_dx,thickness,alpha,I0
0.2,0.7577609375000001,0.1997248323261837,0.5828481773605646,191.82559352893938,10,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.2,0.8798068359375,0.19971977409688563,0.5131377100216504,156.92884559979692,20,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.2,0.833917578125,0.2008993791088386,0.5425472774655444,170.05921067163467,30,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.4,0.525385546875,0.40044976737333154,0.6230768756222214,55.594265844919036,10,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.4,0.7167535156250001,0.399427486262368,0.5799490087322999,45.19506761018307,20,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.4,0.6484078125000001,0.3997290345474468,0.6266679047372911,56.773176471099504,30,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.6,0.32425390625000006,0.6005931357493858,0.6409775857353266,6.7240944962768205,10,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.6,0.5214800781250001,0.5995161220034532,0.6275762122865421,4.680456330234828,20,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.6,0.451181640625,0.5995887529882462,0.6623640659914054,10.469728241281702,30,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.8,0.15143691406249998,0.8000437861079753,0.706170999928803,-11.733456069428575,10,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.8,0.31644296875,0.8006387116923435,0.6872495338577093,-14.16234016401215,20,"(25, 30)",0.1,5e-06,0.05,4,100000.0
0.8,0.24614453125,0.799248087729929,0.7057382539306792,-11.699725684029072,30,"(25, 30)",0.1,5e-06,0.05,4,100000.0
