energies,R,det_dx,fom,Fgt,Fmd,imgs,bmis,gt_bmi1,gt_bmi2
"(15, 20)",0.0,2e-06,67.13506883190988,0.32246530314097877,0.5389526063637017,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.00940914 0.         0.         ... 0.0060631  0.00729801 0.00750386]
  [0.         0.         0.         ... 0.         0.         0.00269584]
  [0.         0.         0.00374929 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01473682 0.         0.00264456]
  [0.0001541  0.         0.00614037 ... 0.         0.00729801 0.01965417]
  [0.00136046 0.01776729 0.00215649 ... 0.00138617 0.00118081 0.00706641]]

 [[0.         0.00155311 0.00362287 ... 0.         0.         0.        ]
  [0.03070079 0.00711392 0.01597962 ... 0.01658125 0.01215155 0.        ]
  [0.00551954 0.0059074  0.         ... 0.01258191 0.0084926  0.00681245]
  ...
  [0.02426909 0.01413059 0.00090615 ... 0.         0.01632348 0.        ]
  [0.         0.02242364 0.         ... 0.00448522 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(20, 25)",0.0,2e-06,20.83791811410215,0.32246530314097877,0.3896603589558872,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00517 ... 1.00252 1.00166 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00123 0.99788 0.9959  ... 1.00525 1.00045 1.00426]]]","[[[0.00884238 0.         0.         ... 0.00822648 0.00810413 0.        ]
  [0.03102889 0.         0.04037124 ... 0.00187296 0.         0.        ]
  [0.         0.00724127 0.02992031 ... 0.         0.00972379 0.        ]
  ...
  [0.023679   0.0130999  0.         ... 0.         0.00094251 0.        ]
  [0.00779161 0.         0.         ... 0.         0.03011758 0.02182528]
  [0.         0.         0.02042845 ... 0.         0.         0.        ]]

 [[0.         0.0449696  0.01606364 ... 0.         0.         0.01246284]
  [0.         0.04440581 0.         ... 0.         0.00082129 0.03454212]
  [0.00165349 0.         0.         ... 0.01398176 0.         0.00318394]
  ...
  [0.         0.         0.04723218 ... 0.04961686 0.         0.02028127]
  [0.         0.01626816 0.02069329 ... 0.03806553 0.         0.        ]
  [0.01389888 0.01166857 0.         ... 0.05138878 0.00629773 0.05225181]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(25, 30)",0.0,2e-06,18.121301145853042,0.32246530314097877,0.38090021181404343,"[[[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00517 ... 1.00252 1.00166 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00123 0.99788 0.9959  ... 1.00525 1.00045 1.00426]]

 [[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00517 ... 1.00251 1.00379 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00123 0.99788 0.9959  ... 1.00525 1.00045 1.00426]]]","[[[0.02986096 0.         0.         ... 0.02329535 0.02515798 0.00079611]
  [0.01930494 0.         0.04887558 ... 0.         0.         0.        ]
  [0.         0.00575155 0.05421451 ... 0.         0.00716827 0.        ]
  ...
  [0.01389883 0.00699097 0.         ... 0.         0.         0.        ]
  [0.01274715 0.         0.         ... 0.         0.06044692 0.06775317]
  [0.         0.01877337 0.03634305 ... 0.         0.         0.        ]]

 [[0.         0.07490315 0.03195502 ... 0.         0.         0.        ]
  [0.         0.08341931 0.         ... 0.02281079 0.02190983 0.04783204]
  [0.01200998 0.         0.         ... 0.04378937 0.         0.01666029]
  ...
  [0.         0.         0.07744319 ... 0.03746379 0.09586948 0.02505939]
  [0.         0.06413974 0.01576075 ... 0.06877571 0.         0.        ]
  [0.018461   0.         0.         ... 0.07863823 0.00675696 0.06384025]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(30, 35)",0.0,2e-06,13.202100708520314,0.32246530314097877,0.3650374972116861,"[[[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00517 ... 1.00251 1.00379 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00123 0.99788 0.9959  ... 1.00525 1.00045 1.00426]]

 [[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00517 ... 1.00252 1.00166 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00123 0.99788 0.9959  ... 1.00525 1.00045 1.00426]]]","[[[ 0.         10.20781668  4.35481818 ...  0.          0.
    0.        ]
  [ 0.         11.36840314  0.         ...  3.10863504  2.985852
    6.51854625]
  [ 1.63669617  0.          0.         ...  5.96761241  0.
    2.27044112]
  ...
  [ 0.          0.         10.55397569 ...  5.18193533  0.
    3.41507973]
  [ 0.          8.74097243  2.14785195 ...  9.37276654  0.
    0.        ]
  [ 2.51584484  0.          0.         ... 10.71683582  0.92081214
    8.70015766]]

 [[11.8192004   0.          0.         ...  9.22049003  9.95773044
    0.31515924]
  [ 7.6410653   0.         19.34529933 ...  0.          0.
    0.        ]
  [ 0.          2.27654753 21.45848255 ...  0.          2.83730038
    0.        ]
  ...
  [ 5.50129289  2.76711805  0.         ...  0.          5.43521357
    0.        ]
  [ 5.04544807  0.          0.         ...  0.         23.92530109
   26.8171586 ]
  [ 0.          7.43066684 14.38484832 ...  0.          0.
    0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(15, 20)",0.0,5e-06,78.729771774308,0.32246530314097877,0.5763415003552018,"[[[0.99634 1.00036 1.00084 ... 0.99954 0.99909 1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99612]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99917 0.99864 1.00161]
  [0.999   1.00618 1.00327 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]

 [[0.99634 1.00036 1.00084 ... 0.99954 0.9991  1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99612]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99917 0.99864 1.00161]
  [0.999   1.00618 1.00168 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]]","[[[0.00940912 0.         0.         ... 0.00118079 0.00229387 0.        ]
  [0.         0.         0.         ... 0.         0.         0.00997579]
  [0.00642322 0.00028225 0.         ... 0.         0.00243891 0.00804446]
  ...
  [0.         0.         0.         ... 0.00213072 0.00349224 0.        ]
  [0.00256735 0.         0.         ... 0.007787   0.00608881 0.        ]
  [0.         0.0072466  0.         ... 0.         0.         0.0074009 ]]

 [[0.         0.00155315 0.0036229  ... 0.         0.         0.00306264]
  [0.01081719 0.00422679 0.01726892 ... 0.01395836 0.00991348 0.        ]
  [0.         0.         0.01382916 ... 0.01671041 0.         0.        ]
  ...
  [0.02023343 0.01004231 0.00539062 ... 0.         0.         0.00694195]
  [0.         0.02658572 0.00279503 ... 0.         0.         0.00500274]
  [0.00198457 0.         0.01202232 ... 0.01034406 0.00280408 0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(20, 25)",0.0,5e-06,31.052414325547915,0.32246530314097877,0.42259856512844957,"[[[0.99634 1.00036 1.00084 ... 0.99954 0.9991  1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99612]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99917 0.99864 1.00161]
  [0.999   1.00618 1.00168 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]

 [[0.99634 1.00036 1.00084 ... 0.99954 0.9991  1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99612]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99918 0.99864 1.00161]
  [0.999   1.00618 1.00168 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]]","[[[0.01044848 0.         0.         ... 0.00131115 0.00256564 0.        ]
  [0.         0.         0.         ... 0.         0.         0.01107775]
  [0.00713273 0.00031337 0.         ... 0.         0.00270827 0.00893306]
  ...
  [0.         0.         0.         ... 0.00231078 0.003878   0.        ]
  [0.00285091 0.         0.         ... 0.0086472  0.00676141 0.        ]
  [0.         0.00804707 0.         ... 0.         0.         0.00821843]]

 [[0.         0.00172604 0.00402607 ... 0.         0.         0.00340346]
  [0.01202067 0.00469711 0.01919016 ... 0.01551132 0.01101645 0.        ]
  [0.         0.         0.01536772 ... 0.01856953 0.         0.        ]
  ...
  [0.02248441 0.01115958 0.00599042 ... 0.         0.         0.00771428]
  [0.         0.02954342 0.00804929 ... 0.         0.         0.00555935]
  [0.00220544 0.         0.01335991 ... 0.01149491 0.00311611 0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(25, 30)",0.0,5e-06,20.80207661096397,0.32246530314097877,0.3895447825441424,"[[[0.99634 1.00036 1.00084 ... 0.99954 0.9991  1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99612]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99918 0.99864 1.00161]
  [0.999   1.00618 1.00168 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]

 [[0.99634 1.00036 1.00084 ... 0.99954 0.99909 1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99611]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99917 0.99864 1.00161]
  [0.999   1.00618 1.00168 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]]","[[[0.03243569 0.         0.         ... 0.00407027 0.00816101 0.        ]
  [0.         0.         0.         ... 0.         0.         0.03458497]
  [0.02214248 0.0009728  0.         ... 0.         0.00840741 0.02773134]
  ...
  [0.         0.         0.         ... 0.00745281 0.01203862 0.        ]
  [0.0088502  0.         0.         ... 0.02684386 0.02098971 0.        ]
  [0.         0.02498088 0.         ... 0.         0.         0.0255128 ]]

 [[0.         0.00540579 0.01260915 ... 0.         0.         0.01065927]
  [0.0376474  0.01471085 0.0601014  ... 0.0485797  0.03450227 0.        ]
  [0.         0.         0.04812999 ... 0.05815766 0.         0.        ]
  ...
  [0.07041869 0.0349506  0.01876133 ... 0.         0.         0.02416029]
  [0.         0.09252666 0.02520946 ... 0.         0.         0.0174113 ]
  [0.00690723 0.         0.04184166 ... 0.03600079 0.00975937 0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(30, 35)",0.0,5e-06,11.525076687216586,0.32246530314097877,0.359629676617642,"[[[0.99634 1.00036 1.00084 ... 0.99954 0.99909 1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99611]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99917 0.99864 1.00161]
  [0.999   1.00618 1.00168 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]

 [[0.99634 1.00036 1.00084 ... 0.99954 0.99909 1.00071]
  [1.00251 1.00098 1.00401 ... 1.00324 1.0023  0.99612]
  [0.9975  0.99989 1.00321 ... 1.00388 0.99905 0.99687]
  ...
  [1.0047  1.00233 1.00125 ... 0.99917 0.99864 1.00161]
  [0.999   1.00618 1.00327 ... 0.99697 0.99763 1.00116]
  [1.00046 0.99718 1.00279 ... 1.0024  1.00065 0.99712]]]","[[[ 0.          0.73669895  1.71837934 ...  0.          0.
    1.45264699]
  [ 5.13060597  2.00479707  8.1906524  ...  6.62046542  4.70198313
    0.        ]
  [ 0.          0.          6.55917892 ...  7.92575519  0.
    0.        ]
  ...
  [ 9.59669255  4.76308212  2.55679978 ...  0.          0.
    3.2925723 ]
  [ 0.         12.60958104 11.58889217 ...  0.          0.
    2.37281548]
  [ 0.94131413  0.          5.70220369 ...  4.90620513  1.33000728
    0.        ]]

 [[12.8382494   0.          0.         ...  1.61104802  3.18754381
    0.        ]
  [ 0.          0.          0.         ...  0.          0.
   13.55856467]
  [ 8.76413035  0.38504665  0.         ...  0.          3.32771101
   10.97623878]
  ...
  [ 0.          0.          0.         ...  2.90723211  4.76495998
    0.        ]
  [ 3.50297575  0.          0.         ... 10.62496581  8.3078601
    0.        ]
  [ 0.          9.88758714  0.         ...  0.          0.
   10.09813118]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(15, 20)",0.0,1e-05,99.62616701071624,0.32246530314097877,0.6437251245998227,"[[[0.99634 1.00331 1.00546 ... 1.00241 0.99942 0.99813]
  [1.00188 0.99234 0.99694 ... 0.9995  0.99515 1.00071]
  [1.00212 0.9967  0.99803 ... 1.00014 1.00265 1.00057]
  ...
  [0.99166 1.0008  1.0015  ... 1.00301 1.00128 1.00001]
  [0.99704 0.9982  0.99533 ... 0.99651 0.99427 1.00279]
  [1.00227 0.99509 1.00119 ... 0.9978  0.99516 0.99835]]

 [[0.99634 1.00331 1.00546 ... 1.00241 0.99942 0.99813]
  [1.00188 0.99234 0.99694 ... 0.9995  0.99515 1.00071]
  [1.00212 0.9967  0.99803 ... 1.00014 1.00265 1.00057]
  ...
  [0.99166 1.0008  1.0015  ... 1.00301 1.00129 1.00001]
  [0.99704 0.9982  0.99533 ... 0.99651 0.99427 1.00279]
  [1.00227 1.0056  1.00119 ... 0.9978  0.99516 0.99835]]]","[[[9.40905240e-03 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
   1.48874670e-03 4.80294654e-03]
  [0.00000000e+00 1.97315950e-02 7.86411365e-03 ... 1.28338168e-03
   1.24755653e-02 0.00000000e+00]
  [0.00000000e+00 8.48200179e-03 5.06007845e-03 ... 0.00000000e+00
   0.00000000e+00 0.00000000e+00]
  ...
  [2.14906747e-02 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
   0.00000000e+00 0.00000000e+00]
  [7.60685576e-03 4.62304966e-03 1.20116040e-02 ... 8.97112635e-03
   1.47457313e-02 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.65155017e-03
   1.24499041e-02 4.23741890e-03]]

 [[0.00000000e+00 1.42594681e-02 2.34968088e-02 ... 1.03872927e-02
   0.00000000e+00 0.00000000e+00]
  [8.10512754e-03 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
   0.00000000e+00 3.06276097e-03]
  [9.13857448e-03 0.00000000e+00 0.00000000e+00 ... 6.03919694e-04
   1.14201846e-02 2.45924827e-03]
  ...
  [0.00000000e+00 3.45084451e-03 6.46797418e-03 ... 1.29692899e-02
   5.59088424e-03 4.32403718e-05]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
   0.00000000e+00 1.20224321e-02]
  [9.78426002e-03 5.35637081e-02 5.13181025e-03 ... 0.00000000e+00
   0.00000000e+00 0.00000000e+00]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(20, 25)",0.0,1e-05,25.97309684417085,0.32246530314097877,0.4062195286146343,"[[[0.99634 1.00331 1.00546 ... 1.00241 0.99942 0.99813]
  [1.00188 0.99234 0.99694 ... 0.9995  0.99515 1.00071]
  [1.00212 0.9967  0.99803 ... 1.00014 1.00265 1.00057]
  ...
  [0.99166 1.0008  1.0015  ... 1.00301 1.00129 1.00001]
  [0.99704 0.9982  0.99533 ... 0.99651 0.99427 1.00279]
  [1.00227 1.0056  1.00119 ... 0.9978  0.99516 0.99835]]

 [[0.99634 1.00036 1.00084 ... 1.00533 0.99911 1.00172]
  [0.99927 1.00081 0.99975 ... 0.99954 0.9991  1.00071]
  [1.00251 1.00098 1.00401 ... 0.99794 1.00004 1.00057]
  ...
  [0.99869 1.00448 1.00334 ... 0.99405 1.0027  1.00121]
  [1.0042  0.99693 1.00043 ... 0.99507 1.00558 0.99501]
  [1.00227 0.99906 0.99865 ... 1.0019  0.99962 0.99473]]]","[[[0.01044852 0.00683222 0.00989808 ... 0.         0.00336518 0.        ]
  [0.00904204 0.         0.         ... 0.00120441 0.         0.        ]
  [0.         0.         0.         ... 0.01175255 0.00684153 0.        ]
  ...
  [0.         0.         0.         ... 0.04095149 0.         0.        ]
  [0.         0.01215895 0.         ... 0.01794221 0.         0.03503941]
  [0.         0.02009216 0.01062811 ... 0.         0.         0.0247508 ]]

 [[0.         0.         0.         ... 0.03872337 0.         0.0245741 ]
  [0.         0.04254975 0.01160645 ... 0.         0.01370493 0.00340339]
  [0.01379052 0.02419179 0.04636839 ... 0.         0.         0.00273273]
  ...
  [0.02585258 0.03813266 0.02434018 ... 0.         0.01933152 0.01125446]
  [0.05265215 0.         0.02531336 ... 0.         0.07814174 0.        ]
  [0.01087265 0.         0.         ... 0.02775771 0.0185217  0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
