energies,R,det_dx,alpha,fom,Fgt,Fmd,imgs,bmis,gt_bmi1,gt_bmi2
"(15, 20)",0.0,2e-06,2,62.975776763070634,0.4978323541984859,0.8113461462328635,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.00940897 0.         0.         ... 0.00606292 0.00729783 0.00750369]
  [0.         0.         0.         ... 0.         0.         0.00269567]
  [0.         0.         0.00374912 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01471997 0.         0.00264438]
  [0.00015392 0.         0.00614018 ... 0.         0.00729784 0.019654  ]
  [0.00136028 0.01776711 0.00215631 ... 0.00138599 0.00118063 0.00706624]]

 [[0.         0.00155341 0.00362317 ... 0.         0.         0.        ]
  [0.03070108 0.00711421 0.01597992 ... 0.01658157 0.01215185 0.        ]
  [0.00551983 0.0059077  0.         ... 0.01258223 0.00849291 0.00681275]
  ...
  [0.02426941 0.01413092 0.00090648 ... 0.         0.01632376 0.        ]
  [0.         0.02242396 0.         ... 0.00448551 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(15, 20)",0.0,2e-06,4,71.15804809079444,0.46064126934059374,0.7884246053040194,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.00940909 0.         0.         ... 0.00606305 0.00729797 0.00750381]
  [0.         0.         0.         ... 0.         0.         0.00269579]
  [0.         0.         0.00374923 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01473675 0.         0.0026445 ]
  [0.00015404 0.         0.0061403  ... 0.         0.00729796 0.01965412]
  [0.0013604  0.01776723 0.00215642 ... 0.00138612 0.00118076 0.00706636]]

 [[0.         0.00155321 0.00362298 ... 0.         0.         0.        ]
  [0.03070087 0.00711401 0.01597973 ... 0.01658132 0.01215162 0.        ]
  [0.00551962 0.0059075  0.         ... 0.01258198 0.00849267 0.00681253]
  ...
  [0.02426919 0.01413071 0.00090627 ... 0.         0.01632358 0.        ]
  [0.         0.02242375 0.         ... 0.00448532 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(15, 20)",0.0,2e-06,6,71.11407747528841,0.456877298251876,0.7817813740977196,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.00940932 0.         0.         ... 0.00606328 0.00729819 0.00750404]
  [0.         0.         0.         ... 0.         0.         0.00269602]
  [0.         0.         0.00374948 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01473698 0.         0.00264472]
  [0.00015427 0.         0.00614053 ... 0.         0.00729819 0.01965435]
  [0.00136064 0.01776747 0.00215666 ... 0.00138635 0.00118099 0.00706659]]

 [[0.         0.0015528  0.00362257 ... 0.         0.         0.        ]
  [0.03070048 0.00711361 0.01597932 ... 0.01658094 0.01215125 0.        ]
  [0.00551923 0.00590709 0.         ... 0.01258161 0.0084923  0.00681215]
  ...
  [0.02426882 0.01413034 0.00090592 ... 0.         0.01632319 0.        ]
  [0.         0.02242336 0.         ... 0.00448493 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(20, 25)",0.0,2e-06,2,19.05116104852388,0.4978323541984859,0.5926751977484973,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.0104485  0.         0.         ... 0.00673282 0.00810415 0.00833273]
  [0.         0.         0.         ... 0.         0.         0.00299357]
  [0.         0.         0.00416341 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01634618 0.         0.00293661]
  [0.00017104 0.         0.00681862 ... 0.         0.00810414 0.02182529]
  [0.00151067 0.01972997 0.00239465 ... 0.00153922 0.00131117 0.00784696]]

 [[0.         0.00172601 0.00402602 ... 0.         0.         0.        ]
  [0.0341163  0.00790544 0.01775743 ... 0.01842599 0.01350351 0.        ]
  [0.00613369 0.0065647  0.         ... 0.01398173 0.0094375  0.00757044]
  ...
  [0.02696911 0.01570273 0.0010071  ... 0.         0.01813958 0.        ]
  [0.         0.02491835 0.         ... 0.00498433 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(20, 25)",0.0,2e-06,4,24.295041406342346,0.46064126934059374,0.572554256461592,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.01044854 0.         0.         ... 0.00673284 0.00810418 0.00833277]
  [0.         0.         0.         ... 0.         0.         0.00299361]
  [0.         0.         0.00416345 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01629066 0.         0.00293665]
  [0.00017108 0.         0.00681866 ... 0.         0.00810418 0.02182533]
  [0.00151071 0.01973001 0.00239468 ... 0.00153925 0.00131121 0.007847  ]]

 [[0.         0.00172595 0.00402596 ... 0.         0.         0.        ]
  [0.03411623 0.00790538 0.01775736 ... 0.01842596 0.01350346 0.        ]
  [0.00613363 0.00656463 0.         ... 0.01398169 0.00943745 0.00757038]
  ...
  [0.02696904 0.01570267 0.00100704 ... 0.         0.0181395  0.        ]
  [0.         0.02491829 0.         ... 0.00498426 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(20, 25)",0.0,2e-06,6,25.27359431307413,0.456877298251876,0.5723466131205889,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.01044845 0.         0.         ... 0.00673275 0.00810409 0.00833268]
  [0.         0.         0.         ... 0.         0.         0.00299352]
  [0.         0.         0.00416335 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.01629055 0.         0.00293655]
  [0.00017099 0.         0.00681856 ... 0.         0.00810408 0.02182523]
  [0.00151062 0.01972992 0.00239459 ... 0.00153915 0.00131111 0.0078469 ]]

 [[0.         0.0017261  0.00402612 ... 0.         0.         0.        ]
  [0.03411638 0.00790554 0.01775753 ... 0.01842611 0.01350361 0.        ]
  [0.00613378 0.00656479 0.         ... 0.01398185 0.00943761 0.00757053]
  ...
  [0.02696921 0.01570283 0.0010072  ... 0.         0.01813968 0.        ]
  [0.         0.02491844 0.         ... 0.00498444 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(25, 30)",0.0,2e-06,2,5.659403722375939,0.4978323541984859,0.46965801141378505,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.03243573 0.         0.         ... 0.02090096 0.02515805 0.02586768]
  [0.         0.         0.         ... 0.         0.         0.00929307]
  [0.         0.         0.01292464 ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.05074423 0.         0.00911626]
  [0.00053096 0.         0.02116734 ... 0.         0.02515806 0.06775325]
  [0.00468962 0.06124864 0.00743378 ... 0.00477825 0.00407031 0.02435966]]

 [[0.         0.00540572 0.0126091  ... 0.         0.         0.        ]
  [0.1068484  0.02475898 0.05561431 ... 0.05770818 0.04229151 0.        ]
  [0.01921005 0.02055993 0.         ... 0.04378927 0.02955724 0.02370979]
  ...
  [0.08446422 0.04917922 0.00315418 ... 0.         0.05681108 0.        ]
  [0.         0.07804149 0.         ... 0.01561036 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(25, 30)",0.0,2e-06,4,10.722007551411137,0.46064126934059374,0.41125127765697916,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00517 ... 1.00252 1.00379 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00123 0.99788 0.9959  ... 1.00525 1.00045 1.00426]]]","[[[0.02673251 0.         0.         ... 0.02620475 0.02515795 0.        ]
  [0.11923304 0.         0.14806574 ... 0.01154006 0.00168186 0.        ]
  [0.         0.02745483 0.10438446 ... 0.         0.03703233 0.        ]
  ...
  [0.09123783 0.05068301 0.         ... 0.         0.         0.        ]
  [0.02759068 0.         0.         ... 0.         0.10332525 0.06775314]
  [0.         0.         0.07146973 ... 0.         0.         0.        ]]

 [[0.         0.15999025 0.05564054 ... 0.         0.         0.05076128]
  [0.         0.15523829 0.         ... 0.         0.         0.12571001]
  [0.00319465 0.         0.         ... 0.04378943 0.         0.00802933]
  ...
  [0.         0.         0.16839676 ... 0.18936377 0.05681127 0.07468878]
  [0.         0.04711946 0.07905464 ... 0.13386705 0.         0.        ]
  [0.05081078 0.05641554 0.         ... 0.1848485  0.02348997 0.19263436]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(25, 30)",0.0,2e-06,6,1.4114833137322225,0.456877298251876,0.46332604508093184,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99429 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]]","[[[0.03243567 0.         0.         ... 0.02090088 0.02515797 0.0258676 ]
  [0.         0.         0.         ... 0.         0.         0.009293  ]
  [0.         0.         0.0129246  ... 0.         0.         0.        ]
  ...
  [0.         0.         0.         ... 0.05085241 0.         0.0091162 ]
  [0.0005309  0.         0.02116728 ... 0.         0.02515798 0.06775318]
  [0.00468956 0.06124859 0.00743373 ... 0.00477817 0.00407023 0.02435958]]

 [[0.         0.0054058  0.01260917 ... 0.         0.         0.        ]
  [0.1068485  0.02475907 0.05561438 ... 0.05770832 0.04229164 0.        ]
  [0.01921017 0.02056004 0.         ... 0.04378941 0.02955736 0.02370991]
  ...
  [0.08446432 0.0491793  0.00315425 ... 0.         0.0568112  0.        ]
  [0.         0.07804158 0.         ... 0.01561051 0.         0.        ]
  [0.         0.         0.         ... 0.         0.         0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
"(30, 35)",0.0,2e-06,2,28.189815762068527,0.4978323541984859,0.3574943307459643,"[[[0.99634 1.00036 1.00084 ... 0.99764 0.99716 0.99708]
  [1.00714 1.00165 1.00371 ... 1.00385 1.00282 0.99895]
  [1.00128 1.00137 0.99854 ... 1.00292 1.00197 1.00158]
  ...
  [1.00564 1.00328 1.00021 ... 0.99428 1.00379 0.99897]
  [0.99994 1.00521 0.99761 ... 1.00104 0.99716 0.99237]
  [0.99947 0.9931  0.99916 ... 0.99946 0.99954 0.99725]]

 [[0.99663 1.005   1.00213 ... 0.99737 0.99716 0.99991]
  [0.99782 1.00557 0.99449 ... 1.00152 1.00146 1.00319]
  [1.0008  0.99935 0.99389 ... 1.00292 0.99919 1.00111]
  ...
  [0.99843 0.99921 1.00518 ... 1.00252 1.00166 1.00167]
  [0.99856 1.00428 1.00105 ... 1.00459 0.99319 0.99237]
  [1.00124 0.99788 0.9959  ... 0.99946 1.00045 1.00426]]]","[[[ 0.         24.52494085  8.34023041 ...  0.          0.
    8.5845069 ]
  [ 0.         23.45297431  0.         ...  0.          0.
   19.62263269]
  [ 0.15336575  0.          0.         ...  5.96759468  0.
    0.81813457]
  ...
  [ 0.          0.         25.90942023 ... 30.6854247   0.
   11.76592895]
  [ 0.          5.87703446 12.79795145 ... 20.32531595  0.
    0.        ]
  [ 8.01056233 10.51208765  0.         ...  0.          3.73636606
   30.37163095]]

 [[10.27880485  0.          0.         ... 10.6530981   9.95775358
    0.        ]
  [56.8451914   0.         68.18606658 ...  6.98012795  2.07474085
    0.        ]
  [ 0.         12.96317424 46.16194237 ...  0.         17.54224653
    0.        ]
  ...
  [43.58266342 24.28090482  0.         ...  0.          5.43523758
    0.        ]
  [12.35436593  0.          0.         ...  0.         45.03840526
   26.81718168]
  [ 0.          0.         31.68109107 ...  1.8913042   0.
    0.        ]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
